An Act to provide survivor benefits for widows of the Chief Justice and the Associate Justices of the Supreme Court of the United States.|83|Senate|NA|Became Public Law No. 83-702|1954-08-28|https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg918.pdf
An Act to amend the Merchant Marine Act, 1936, to provide permanent legislation for the transportation of a substantial portion of waterborne cargoes in United States flag vessels|83|Senate|NA|Became Public Law No. 83-664|1954-08-26|https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg832.pdf
An Act to provide benefits under the laws administered by the Veterans Administration based upon service in the WomenÂ’s Army Auxiliary Corps under certain conditions|83|House|NA|Became Public Law No. 83-650|1954-08-24|https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg789.pdf
An Act for the Relief of Sisters Linda Salerno, Luigiana C. Cairo, Antonietta Impieri, Anna Impieri, Rosina Scarlato, Iolando Gaglianone, Maria Assunta Scaramuzzo, Francescaina Conterucci and Filomena Lupinacci.|83|House|NA|Became Private Law No. 83-743|1954-08-23|https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-PgA187.pdf
Joint resolution to establish a commission for the celebration of the two hundredth anniversary of the birth of Alexander Hamilton|83|Senate|NA|Became Public Law No. 83-601|1954-08-20|https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg746.pdf
An Act for the Relief of Frantisek Vyborny.|83|Senate|NA|Became Private Law No. 83-647|1954-08-13|https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-PgA157.pdf
An Act for the Relief of Sisters Adelaide Canelas and Maria Isabel Franco.|83|House|NA|Became Private Law No. 83-300|1954-03-15|https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-PgA27.pdf
An Act to amend the charter of the Girl Scouts of the United States of America so as to limit membership on the National Council of Girl Scouts to citizens of the United States, to authorize meetings of the national council as provided in the constitution, and to authorize an annual report based upon the preceding fiscal year.|83|House|NA|Became Public Law No. 83-272|1953-08-14|https://www.congress.gov/83/statute/STATUTE-67/STATUTE-67-Pg582.pdf
An Act for the Relief of Certain Members of the Missionary Sisters of the Sacred Heart.|83|House|NA|Became Private Law No. 83-118|1953-07-29|https://www.congress.gov/83/statute/STATUTE-67/STATUTE-67-PgA42.pdf
An Act to amend the act of February 24, 1925, incorporating the American War Mothers|83|House|NA|Became Public Law No. 83-79|1953-06-26|https://www.congress.gov/83/statute/STATUTE-67/STATUTE-67-Pg81-2.pdf
An Act for the Relief of Mother Anna DiGiorgi.|83|House|NA|Became Private Law No. 83-63|1953-06-18|https://www.congress.gov/83/statute/STATUTE-67/STATUTE-67-PgA24.pdf
